Name,,,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
53 Moonya Rd,,,,Carnegie,-37.8972,145.0617,h,1423000,4,1,15/08/2015,0.02,1,0
27 Morgan St,,,,Carnegie,-37.8957,145.0487,h,1900000,2,14,7/06/2016,0.23,1,0
2 Poplar Gr,,,,Carnegie,-37.8854,145.0636,h,907000,1,80,10/05/2020,1.35,1,364
10/12 St Huberts Rd,,,,Carnegie,-37.8894,145.0508,u,350000,1,313,29/07/2020,5.13,39,365
39 Elimatta Rd,,,,Carnegie,-37.9023,145.0568,h,1430000,1,0,,,1,0
16a Blackwood St,,,,Carnegie,-37.8867,145.0653,u,983500,5,50,6/03/2020,0.89,1,203
21 Edgewood St,,,,Carnegie,-37.8871,145.052,h,1490000,2,172,14/06/2020,2.77,1,334
9/81 Koornang Rd,,,,Carnegie,-37.8873,145.0572,u,572000,2,36,5/07/2020,0.66,31,0
33b Emily St,,,,Carnegie,-37.8927,145.0644,h,990000,1,0,,,1,0
1/52 Neville St,,,,Carnegie,-37.8978,145.0506,t,1100000,28,26,28/04/2020,0.52,1,232
76 Oakleigh Rd,,,,Carnegie,-37.8993,145.0528,h,1125000,31,1,17/08/2015,0.02,1,0
2/47 Coorigil Rd,,,,Carnegie,-37.8959,145.06,u,601000,1,0,,,1,0
68 Leila Rd,,,,Carnegie,-37.9011,145.051,h,1410000,1,5,30/03/2016,0.08,1,0
1/15 Rosstown Rd,,,,Carnegie,-37.8843,145.0531,u,405000,2,2,14/04/2016,0.04,1,0
73 Truganini Rd,,,,Carnegie,-37.8916,145.0543,h,1655000,7,0,,,1,0
83 Truganini Rd,,,,Carnegie,-37.8922,145.0544,h,1910000,2,147,16/03/2020,2.4,1,365
3/16 Yendon Rd,,,,Carnegie,-37.8889,145.0495,t,808000,2,4,5/01/2016,0.07,1,0
8 Yendon Rd,,,,Carnegie,-37.8896,145.0492,h,1252000,1,0,,,1,0
14/82 Coorigil Rd,,,,Carnegie,-37.8959,145.0639,u,370000,2,51,10/07/2020,0.9,1,362
22 Neville St,,,,Carnegie,-37.8975,145.0478,h,1880000,2,150,8/06/2020,2.65,2,365
86 Neville St,,,,Carnegie,-37.898,145.0528,h,896000,7,28,4/02/2020,0.49,1,363
48 Blackwood St,,,,Carnegie,-37.8868,145.0625,h,1802100,1,2,23/07/2015,0.03,1,0
5/35 Moonya Rd,,,,Carnegie,-37.8973,145.0596,u,585000,1,0,,,1,0
5/102 Oakleigh Rd,,,,Carnegie,-37.8999,145.0575,u,450000,10,1,17/12/2015,0.02,1,0
2/94 Truganini Rd,,,,Carnegie,-37.8927,145.0539,u,737000,30,3,4/12/2015,0.05,1,0
3/64 Woornack Rd,,,,Carnegie,-37.8978,145.0624,t,860000,3,30,1/03/2020,1.51,1,355
1/58 Coorigil Rd,,,,Carnegie,-37.8956,145.0613,u,605000,1,18,8/03/2020,0.29,1,365
14 Margaret St,,,,Carnegie,-37.891,145.0636,h,1300000,3,92,2/07/2020,1.81,2,254
44 Blackwood St,,,,Carnegie,-37.8869,145.0628,h,1518000,1,269,12/06/2020,4.37,1,360
5/33 Gnarwyn Rd,,,,Carnegie,-37.8946,145.0588,u,632500,1,0,,,1,365
6/7 Judd St,,,,Carnegie,-37.8986,145.0567,u,435000,4,1,8/02/2016,0.02,2,0
15/225 Koornang Rd,,,,Carnegie,-37.8936,145.056,u,468250,3,28,10/01/2019,0.47,2,143
26 Leila Rd,,,,Carnegie,-37.9007,145.047,h,1716000,2,28,20/03/2020,0.51,2,363
10/8 Anzac St,,,,Carnegie,-37.886,145.0659,u,270000,2,62,15/03/2020,1.01,1,156
3/9 Maroona Rd,,,,Carnegie,-37.8887,145.048,u,365000,5,23,5/09/2018,0.37,2,242
3/12 St Huberts Rd,,,,Carnegie,-37.8894,145.0508,u,340000,1,18,27/07/2019,0.39,1,365
6/5 Freeman St,,,,Caulfield,-37.8865,145.0302,u,722500,2,9,29/04/2017,0.15,1,0
18 Ash Gr,,,,Caulfield,-37.8864,145.0326,t,1600000,2,92,22/03/2020,1.5,1,79
190 Kambrook Rd,,,,Caulfield,-37.8849,145.0341,h,1665000,1,9,24/01/2017,0.15,1,363
2/19 Ash Gr,,,,Caulfield,-37.8866,145.0322,u,323000,14,0,,,1,0
4/14 Briggs St,,,,Caulfield,-37.8852,145.024,u,550000,1,288,24/07/2020,4.74,1,358
103/677 Glen Huntly Rd,,,,Caulfield,-37.8862,145.0175,u,638000,1,175,9/03/2020,3.14,2,271
30 Pyne St,,,,Caulfield,-37.8864,145.0242,h,131000,2,22,24/07/2020,0.39,2,365
3/97 Murray St,,,,Caulfield,-37.885,145.0189,h,1090000,21,0,,,1,0
14 Arthur St,,,,Caulfield North,-37.8678,145.027,h,1365000,1,9,4/03/2020,0.18,2,58
452 Dandenong Rd,,,,Caulfield North,-37.8629,145.019,h,1750000,12,0,,,1,0
12/378 Dandenong Rd,,,,Caulfield North,-37.8607,145.0116,u,580000,5,164,27/11/2019,2.7,2,201
25 Malvern Gr,,,,Caulfield North,-37.8694,145.0296,h,2005000,3,1,1/11/2015,0.02,1,0
5/698 Inkerman Rd,,,,Caulfield North,-37.8694,145.0246,u,523000,1,20,14/03/2020,0.32,1,79
9/400 Dandenong Rd,,,,Caulfield North,-37.861,145.0136,u,420000,3,77,17/03/2020,1.24,4,360
8/359 Balaclava Rd,,,,Caulfield North,-37.8744,145.0371,u,290000,1,0,,,1,0
3/374 Dandenong Rd,,,,Caulfield North,-37.8607,145.0112,u,608000,2,3,1/11/2015,0.05,1,0
9/370 Orrong Rd,,,,Caulfield North,-37.8625,145.0103,u,570000,2,0,,,1,40
7/19 Hawthorn Rd,,,,Caulfield North,-37.8681,145.0258,u,520500,7,1,7/09/2015,0.02,1,364
11 Arthur St,,,,Caulfield North,-37.868,145.0269,h,1400000,1,0,,,1,0
28 Wanda Rd,,,,Caulfield North,-37.8672,145.0225,h,2830000,5,0,,,1,0
13/378 Dandenong Rd,,,,Caulfield North,-37.8607,145.0116,u,722000,4,7,31/01/2020,0.12,1,1
15/496 Dandenong Rd,,,,Caulfield North,-37.8647,145.0232,u,450000,2,15,8/06/2020,0.25,6,354
7 Cambridge St,,,,Caulfield North,-37.8622,145.0112,h,1870000,1,20,22/05/2019,0.35,1,0
6/378 Dandenong Rd,,,,Caulfield North,-37.8607,145.0116,u,622000,4,55,9/06/2020,0.89,2,201
1/13 Narong Rd,,,,Caulfield North,-37.8686,145.0239,u,536000,3,2,21/01/2016,0.03,1,0
127 Normanby Rd,,,,Caulfield North,-37.8696,145.0323,h,2625000,1,0,,,1,0
1/355 Alma Rd,,,,Caulfield North,-37.8652,145.0198,u,570000,3,1,2/08/2015,0.02,1,0
3/388 Dandenong Rd,,,,Caulfield North,-37.8609,145.0126,u,550000,2,7,14/07/2019,0.14,1,106
123 Normanby Rd,,,,Caulfield North,-37.8698,145.0325,h,2170000,10,428,12/07/2020,6.92,3,139
26 Flowers St,,,,Caulfield South,-37.8896,145.0307,h,1577500,14,91,23/07/2020,1.47,1,318
5 Alder St,,,,Caulfield South,-37.8874,145.019,h,1460000,1,76,25/06/2020,1.23,1,330
10/468 Kooyong Rd,,,,Caulfield South,-37.8961,145.0132,u,275500,1,1,13/06/2016,0.02,1,0
15 Dover St,,,,Caulfield South,-37.895,145.022,h,1065000,2,19,18/02/2017,0.31,1,365
9 Filbert St,,,,Caulfield South,-37.8906,145.0224,h,1470000,2,30,22/04/2019,0.5,6,1
1 Rotorua St,,,,Caulfield South,-37.9002,145.027,h,1012000,5,9,3/11/2019,0.18,1,189
4/21 Gardenvale Rd,,,,Caulfield South,-37.8997,145.0168,u,599000,4,19,9/12/2019,0.31,1,0
303 Bambra Rd,,,,Caulfield South,-37.8965,145.0269,h,1160500,3,126,15/03/2020,2.03,1,365
11/8 Bealiba Rd,,,,Caulfield South,-37.8912,145.0289,u,650000,1,258,24/07/2020,4.22,31,0
80 Sycamore St,,,,Caulfield South,-37.8898,145.0196,h,1170000,3,17,18/01/2020,0.28,2,219
5 Filbert St,,,,Caulfield South,-37.8906,145.0221,h,1314000,14,1,11/09/2015,0.02,1,0
1/2 Griffiths St,,,,Caulfield South,-37.8887,145.0318,t,1030000,1,0,,,1,0
7A Alfada St,,,,Caulfield South,-37.8958,145.0215,h,1225000,2,269,14/03/2020,4.34,1,0
22 Sycamore St,,,,Caulfield South,-37.8893,145.0161,h,1450000,1,15,10/04/2016,0.26,1,0
8 Lygon St,,,,Caulfield South,-37.8993,145.0254,h,1774500,2,30,22/02/2020,0.49,1,364
1/19 Trevascus St,,,,Caulfield South,-37.8974,145.0294,u,525500,3,92,2/02/2020,1.49,75,0
28 Ellington St,,,,Caulfield South,-37.8923,145.0177,h,1960000,1,24,12/12/2019,0.4,1,0
23 Lygon St,,,,Caulfield South,-37.8995,145.0241,h,825000,2,36,27/01/2020,0.59,1,232
136 Sycamore St,,,,Caulfield South,-37.8901,145.0224,h,1262000,30,1,24/03/2016,0.02,1,0
5 Field St,,,,Caulfield South,-37.8891,145.0294,u,1110000,1,215,21/03/2020,3.47,73,1
48A Jupiter St,,,,Caulfield South,-37.8957,145.0196,t,1410000,1,0,,,1,0
147 Booran Rd,,,,Caulfield South,-37.8936,145.0366,h,1303500,1,0,,,1,0
18b Marara Rd,,,,Caulfield South,-37.8967,145.0313,h,1115000,1,1,18/08/2015,0.02,1,0
89 Clarence St,,,,Caulfield South,-37.8928,145.0149,h,1340000,2,5,25/03/2018,0.09,1,0
393 North Rd,,,,Caulfield South,-37.9027,145.0322,h,1200000,3,9,31/03/2020,0.16,25,90
5 Sycamore St,,,,Caulfield South,-37.8889,145.0151,h,1570000,4,64,10/06/2019,1.04,2,0
30 Cedar St,,,,Caulfield South,-37.8887,145.0207,h,1001000,2,73,31/05/2020,1.19,2,341
42 Poplar St,,,,Caulfield South,-37.8893,145.0196,h,1330000,2,223,3/08/2020,3.89,2,230
5/27 Venus St,,,,Caulfield South,-37.8943,145.0145,u,290000,4,27,5/01/2020,0.45,1,0
245 Booran Rd,,,,Caulfield South,-37.9012,145.035,h,1570000,1,4,22/02/2016,0.07,1,0
364 Kooyong Rd,,,,Caulfield South,-37.8894,145.0145,h,1916000,1,1,27/06/2016,0.02,1,0
3/21 Gardenvale Rd,,,,Caulfield South,-37.8996,145.0169,u,500000,1,112,13/06/2020,1.82,1,362
3/10 Euroka St,,,,Chadstone,-37.8786,145.1015,t,752000,2,56,26/12/2018,0.92,1,365
16 Moroney Dr,,,,Chadstone,-37.8891,145.1002,h,1507000,1,131,8/07/2020,2.23,1,270
8B Moorong St,,,,Chadstone,-37.8801,145.1051,h,890000,2,104,22/03/2020,1.68,1,40
2/44 Railway Pde S,,,,Chadstone,-37.8738,145.1054,u,700000,3,17,28/08/2018,0.28,25,90
23 Thurloo St,,,,Chadstone,-37.8784,145.0958,h,1000000,2,30,6/07/2020,1.28,1,294
2/4 Lenna Ct,,,,Chadstone,-37.8796,145.1044,t,865000,7,3,10/08/2018,0.09,1,363
2/12 Moorong St,,,,Chadstone,-37.8805,145.105,t,1042500,3,1,25/07/2015,0.02,1,0
5 Bullarto St,,,,Chadstone,-37.8792,145.0948,h,1002000,1,0,,,1,0
15 Aloomba St,,,,Chadstone,-37.8805,145.0978,h,992000,3,13,24/08/2019,0.22,1,364
4/5 Rae St,,,,Chadstone,-37.8859,145.0934,h,650000,3,9,30/12/2018,0.16,1,21
1/19 Warrina St,,,,Chadstone,-37.8742,145.105,t,965000,4,14,27/01/2018,0.24,1,0
3 Yambie La,,,,Chadstone,-37.8837,145.106,h,920000,4,0,,,1,316
7 Inga Ct,,,,Chadstone,-37.8812,145.105,h,1301000,3,39,25/03/2020,0.65,2,324
2 Fitzroy Gr,,,,Chadstone,-37.8738,145.1095,h,1415500,1,0,,,1,0
1/32 Kelly St,,,,Chadstone,-37.8859,145.0979,h,705000,1,0,,,1,0
4 Jacana Ct,,,,Chadstone,-37.8845,145.1027,h,1260000,10,0,,,1,0
15 Grandview Rd,,,,Chadstone,-37.8746,145.1071,h,1460000,2,2,24/03/2018,0.06,1,365
23 Jacana St,,,,Chadstone,-37.8838,145.102,h,1000000,3,223,23/04/2020,3.75,1,19
2/2 Robert St,,,,Chadstone,-37.8824,145.1042,t,845000,5,23,14/03/2020,0.39,1,363
2/19 Thurloo St,,,,Chadstone,-37.8781,145.0955,t,881000,1,8,18/10/2015,0.13,1,0
60a Hodgkinson St,,,,Clifton Hill,-37.7902,144.9894,h,1270000,5,9,21/01/2017,0.15,1,35
66 Noone St,,,,Clifton Hill,-37.7934,144.9922,h,780000,1,33,6/10/2019,0.54,6,341
13 Caroline St,,,,Clifton Hill,-37.7899,144.9984,h,1060000,3,6,8/10/2016,0.1,1,0
3/68 Noone St,,,,Clifton Hill,-37.7934,144.9923,t,930000,1,54,7/03/2020,1.01,1,300
86 Hodgkinson St,,,,Clifton Hill,-37.7898,144.9903,h,1420000,1,0,,,1,0
119 Roseneath St,,,,Clifton Hill,-37.7928,144.9987,h,1075000,1,21,1/07/2020,0.35,3,332
85 Roseneath St,,,,Clifton Hill,-37.7927,144.9981,h,1105000,3,5,27/02/2020,0.08,5,365
413a Wellington St,,,,Clifton Hill,-37.7919,144.9884,h,1209000,3,10,2/12/2019,0.27,5,354
32 Caroline St,,,,Clifton Hill,-37.7897,144.9992,h,3010000,2,10,7/01/2017,0.17,1,0
17 Myrtle St,,,,Clifton Hill,-37.7918,144.997,h,1435000,4,402,29/06/2020,6.49,4,91
12 Kiewa St,,,,Clifton Hill,-37.7924,145.0002,h,1417000,2,16,1/12/2019,0.29,1,271
40 Myrtle St,,,,Clifton Hill,-37.7912,144.9967,h,1290000,1,0,,,1,0
195 Gold St,,,,Clifton Hill,-37.7917,144.9902,h,1226000,2,96,17/03/2020,1.57,1,181
3/30 Edmund St,,,,Clifton Hill,-37.7875,145.0049,u,495000,1,118,9/07/2020,1.95,1,37
4/56 John St,,,,Clifton Hill,-37.7873,144.9958,u,325000,1,234,9/04/2020,3.8,1,0
11 Page St,,,,Clifton Hill,-37.7921,144.9898,h,1370000,3,111,20/03/2020,1.83,2,69
36 Ogrady St,,,,Clifton Hill,-37.787,144.9988,h,1620000,3,2,2/11/2015,0.03,1,0
69 Field St,,,,Clifton Hill,-37.7928,145.0021,h,1180000,3,0,,,1,0
40 Spensley St,,,,Clifton Hill,-37.7882,144.9984,h,1405000,1,1,25/10/2015,0.02,1,0
2A Council St,,,,Clifton Hill,-37.7923,144.9858,h,880000,5,2,7/01/2016,0.04,1,0
31 Fenwick St,,,,Clifton Hill,-37.7892,144.9999,h,1450000,1,84,9/03/2020,1.4,3,0
104 Noone St,,,,Clifton Hill,-37.7936,144.995,h,856000,1,2,2/10/2015,0.03,1,0
7/37 Groom St,,,,Clifton Hill,-37.7937,144.9983,u,885500,1,0,,,2,0
49 Fenwick St,,,,Clifton Hill,-37.7884,145,h,1680000,2,174,14/06/2020,2.83,2,298
1 John St,,,,Clifton Hill,-37.7898,144.9957,h,730000,7,19,11/08/2018,0.41,1,293
18 Barries Pl,,,,Clifton Hill,-37.7946,144.9989,t,825000,2,128,16/03/2020,2.1,1,364
1/493 Hoddle St,,,,Clifton Hill,-37.7931,144.9938,u,533000,1,0,,,1,0
20 Gordon St,,,,Clifton Hill,-37.7912,144.9963,h,1430000,2,6,22/05/2016,0.1,1,0
1/1 Marshall Pl,,,,Clifton Hill,-37.7885,144.9994,h,1506000,2,95,26/01/2020,1.82,1,363
48 Council St,,,,Clifton Hill,-37.7925,144.9877,h,1150000,5,4,20/03/2016,0.07,1,0
3 Hodgkinson St,,,,Clifton Hill,-37.7921,144.9858,h,1360000,1,1,13/11/2015,0.02,1,0
53 John St,,,,Clifton Hill,-37.7873,144.9961,t,640000,1,0,,,1,0
29 Molesworth St,,,,Coburg,-37.735,144.9589,h,850000,3,41,16/03/2020,0.67,1,365
10 Shackell St,,,,Coburg,-37.7427,144.952,h,784000,3,0,,,1,0
37 Elizabeth St,,,,Coburg,-37.7391,144.9812,h,680000,4,8,25/08/2019,0.21,1,263
38 Harding St,,,,Coburg,-37.7456,144.9696,h,1221000,10,6,28/06/2016,0.12,1,0
1/58 Moore St,,,,Coburg,-37.7546,144.9713,t,807000,1,265,7/08/2020,4.33,31,4
181 Munro St,,,,Coburg,-37.7435,144.9507,h,790000,1,89,6/07/2020,1.46,1,206
43 Ohea St,,,,Coburg,-37.7374,144.9617,h,955000,2,3,18/03/2017,0.07,1,0
8 Watchtower Rd,,,,Coburg,-37.7382,144.973,h,675000,2,5,22/04/2017,0.08,6,354
12 Hardwick St,,,,Coburg,-37.7494,144.9686,h,1010000,1,7,9/01/2020,0.16,3,357
3 Mavis St,,,,Coburg,-37.7493,144.9559,h,1202000,1,33,30/03/2020,0.6,14,181
243 Moreland Rd,,,,Coburg,-37.7549,144.9611,h,1370000,1,63,27/03/2020,1.03,14,174
61 Murray Rd,,,,Coburg,-37.7358,144.9801,h,550000,2,14,2/01/2018,0.23,1,0
45 Portland St,,,,Coburg,-37.744,144.9501,h,1000000,2,162,18/03/2020,2.72,1,202
6 Stawell St,,,,Coburg,-37.7364,144.96,h,935500,1,296,23/07/2020,4.85,1,308
35 The Grove,,,,Coburg,-37.7517,144.9699,u,2250000,2,164,15/03/2020,2.73,1,180
171 Moreland Rd,,,,Coburg,-37.7555,144.9658,h,145000,1,45,27/06/2020,0.78,1,233
191 Ohea St,,,,Coburg,-37.7363,144.9507,h,905000,5,22,7/08/2020,0.37,17,356
33 Wellington St,,,,Coburg,-37.7416,144.9582,h,860000,1,0,,,1,0
16 Linda St,,,,Coburg,-37.7508,144.9608,h,953000,2,146,2/07/2020,2.46,1,329
6 Shackell St,,,,Coburg,-37.7429,144.952,h,735000,3,10,17/03/2020,0.17,2,178
15/1 Manna Gum Ct,,,,Coburg,-37.7372,144.9764,t,550000,2,4,16/11/2015,0.07,1,0
56 Rose St,,,,Coburg,-37.7432,144.9474,h,1100000,2,123,5/04/2020,2.11,1,355
27 Higinbotham St,,,,Coburg,-37.735,144.9581,h,947000,1,1,19/08/2015,0.02,1,0
2/6 McKay St,,,,Coburg,-37.7405,144.9644,u,500000,3,0,,,1,0
2/58 Moore St,,,,Coburg,-37.7546,144.9713,t,865000,2,0,,,1,0
7/13 Clarendon St,,,,Coburg,-37.7527,144.9522,u,466000,3,0,,,1,0
3/58 Moore St,,,,Coburg,-37.7546,144.9713,t,740000,4,5,2/01/2018,0.09,1,0
105 Moreland Rd,,,,Coburg,-37.7561,144.9718,h,812000,1,14,5/03/2020,1.78,2,178
107 Moreland Rd,,,,Coburg,-37.7561,144.9716,h,766000,5,1,28/10/2015,0.02,1,0
109 Moreland Rd,,,,Coburg,-37.7561,144.9715,h,825000,1,231,29/04/2020,3.77,21,293
2 Quarry Cct,,,,Coburg,-37.7359,144.9711,h,1131000,1,0,,,1,0
114 Reynard St,,,,Coburg,-37.7478,144.9583,h,1064000,14,72,22/01/2018,1.19,1,112
3/262 Reynard St,,,,Coburg,-37.7466,144.9482,t,610000,1,2,19/03/2018,0.03,1,365
60 Glengyle St,,,,Coburg,-37.7544,144.9764,h,1210000,1,0,,,1,0
8/6 McKay St,,,,Coburg,-37.7405,144.9644,u,434000,1,59,14/03/2020,0.99,1,361
4/44 Victoria St,,,,Coburg,-37.7422,144.9606,u,653000,2,5,16/09/2017,0.09,1,0
2/118 Bruce St,,,,Coburg,-37.7403,144.9491,t,640000,21,19,16/02/2020,0.37,1,0
31 Elizabeth St,,,,Coburg,-37.7402,144.9807,h,820000,3,0,,,1,0
7 Gladstone St,,,,Coburg,-37.7433,144.9762,h,1250000,1,78,18/03/2020,1.28,1,358
21 Governors Rd,,,,Coburg,-37.7376,144.9726,h,1335000,90,2,31/03/2019,0.11,12,181
56 The Grove,,,,Coburg,-37.7523,144.9725,h,1900000,3,1,10/10/2015,0.02,2,0
5 Donne St,,,,Coburg,-37.753,144.9485,h,1090000,4,18,13/04/2017,0.3,2,116
41 Service St,,,,Coburg,-37.7379,144.9623,h,1130000,2,49,7/03/2020,0.82,1,365
1 Sutherland St,,,,Coburg,-37.7402,144.9607,h,1145000,1,262,8/07/2020,4.39,1,348
38 Budds St,,,,Coburg,-37.7427,144.9711,t,657000,2,78,23/02/2020,1.34,4,364
1e The Avenue,,,,Coburg,-37.7517,144.963,h,763000,4,28,13/03/2020,0.61,3,354
53 Hawthorn St,,,,Coburg,-37.7484,144.9521,h,903000,3,17,21/03/2020,0.29,3,354
4 Miller St,,,,Coburg,-37.75,144.9695,h,1000000,1,0,,,1,0
13 Shaftsbury St,,,,Coburg,-37.7529,144.9534,h,1742000,1,9,23/10/2016,0.15,1,365
12 Gordon St,,,,Coburg,-37.7525,144.948,h,865000,1,0,,,1,0
11/5 Industry La,,,,Coburg,-37.7367,144.9701,u,485000,1,47,23/07/2017,0.79,1,0
23 Berry St,,,,Coburg,-37.7464,144.959,h,1278000,2,4,5/07/2020,0.23,6,341
4/93 Harding St,,,,Coburg,-37.7458,144.9751,t,590000,2,55,7/04/2020,1.56,1,365
45 Kerferd St,,,,Coburg,-37.7337,144.9548,h,1000000,5,8,26/03/2017,0.13,1,0
15/1 Manna Gum Ct,,,,Coburg,-37.7372,144.9764,t,590000,1,1,3/09/2015,0.02,1,0
3 Phillips St,,,,Coburg,-37.7504,144.9537,h,1030000,1,0,,,1,0
19 Audley St,,,,Coburg,-37.7501,144.962,h,1136000,90,1,15/03/2018,0.03,12,365
13 Carron St,,,,Coburg,-37.7516,144.9623,t,635000,2,68,17/03/2019,1.16,1,80
196 Ohea St,,,,Coburg,-37.7359,144.9502,h,1061000,2,7,5/10/2019,0.16,1,344
9 Vincent St,,,,Coburg,-37.7431,144.956,h,1155000,1,24,15/03/2020,0.52,1,364
6 Farm Rd,,,,Coburg,-37.7362,144.9714,h,650000,3,159,15/07/2020,2.65,1,215
89 Gordon St,,,,Coburg,-37.7477,144.9483,h,1286000,9,0,,,1,83
31 Hardwick St,,,,Coburg,-37.7493,144.9701,h,885000,2,117,2/02/2020,1.97,1,365
13 Hudson St,,,,Coburg,-37.7436,144.962,h,1160000,2,0,,,1,358
203 Munro St,,,,Coburg,-37.7432,144.9481,h,1400000,7,1,5/01/2016,0.02,1,0
403/19 Pentridge Bvd,,,,Coburg,-37.7379,144.9683,u,470000,1,5,27/12/2017,0.11,1,0
8 Gilbert St,,,,Coburg,-37.7471,144.9579,h,1260000,360,81,15/03/2020,1.48,2,201
1/33 Sheffield St,,,,Coburg,-37.7464,144.9676,h,920000,1,17,17/08/2018,0.28,3,364
52 Stawell St,,,,Coburg,-37.734,144.9603,h,841000,1,25,30/08/2019,0.69,1,180
4/2 Vincent St,,,,Coburg,-37.7435,144.9563,u,537500,1,35,15/03/2020,0.6,24,217
59 Moore St,,,,Coburg,-37.7543,144.9717,h,1130000,1,16,16/03/2020,0.27,24,266
5/39 Service St,,,,Coburg,-37.7379,144.9617,t,598000,1,0,,,1,0
2 Walsh St,,,,Coburg,-37.7481,144.9663,h,1120000,2,2,17/06/2019,0.06,1,90
24 Webb St,,,,Coburg,-37.735,144.9558,h,870000,1,6,2/06/2017,0.1,1,0
27 Bruce St,,,,Coburg,-37.7448,144.9478,h,680000,1,0,,,1,0
185 Moreland Rd,,,,Coburg,-37.7554,144.9648,h,482500,14,84,8/11/2019,1.44,1,222
155 Nicholson St,,,,Coburg,-37.7459,144.9773,h,825000,21,13,16/03/2020,0.22,1,14
11 Station St,,,,Coburg,-37.7539,144.9612,h,725000,2,8,23/03/2018,0.14,1,232
144 The Avenue,,,,Coburg,-37.7537,144.9766,h,1250000,3,5,14/03/2017,0.09,1,0
2 Franklin St,,,,Coburg,-37.7505,144.9725,h,1008000,3,1,28/09/2015,0.02,1,0
3/20 Loch St,,,,Coburg,-37.7474,144.9621,t,599000,3,0,,,3,365
50a Rennie St,,,,Coburg,-37.7509,144.9696,h,860000,2,8,31/12/2016,0.14,1,50
1 Shaftsbury St,,,,Coburg,-37.7537,144.9532,h,990000,2,29,16/03/2020,0.48,2,180
3/30 Shaftsbury St,,,,Coburg,-37.752,144.954,u,451000,2,0,,,1,365
211 Bell St,,,,Coburg,-37.7404,144.9559,h,635000,2,32,3/07/2020,0.58,10,362
15 Hardwick St,,,,Coburg,-37.7492,144.969,h,1020000,1,0,,,1,0
6 Hardwick St,,,,Coburg,-37.7494,144.9681,h,967000,1,119,30/04/2020,1.96,73,293
32A Kelson St,,,,Coburg,-37.7408,144.9558,h,1025000,1,0,,,1,0
37 Kelson St,,,,Coburg,-37.7406,144.9555,h,700000,4,0,,,1,0
48 Murray St,,,,Coburg,-37.7382,144.9563,h,1130000,14,2,26/10/2015,0.03,6,338
25a Ohea St,,,,Coburg,-37.7376,144.9638,h,835000,6,22,28/02/2020,0.37,1,358
212 Reynard St,,,,Coburg,-37.7473,144.9528,h,1075000,2,28,3/09/2018,0.46,1,0
96 Reynard St,,,,Coburg,-37.748,144.9603,h,845000,7,4,7/01/2020,0.12,1,0
2/618 Sydney Rd,,,,Coburg,-37.736,144.9665,t,600000,1,8,26/03/2018,0.13,2,364
185 The Avenue,,,,Coburg,-37.7535,144.9779,h,1461000,1,48,6/06/2020,0.81,2,365
14 Rose St,,,,Coburg,-37.7456,144.9469,h,1150000,1,1,21/09/2015,0.02,1,0
3/19 Chandos St,,,,Coburg,-37.7474,144.9608,u,515000,30,0,,,1,358
124 Ohea St,,,,Coburg,-37.7366,144.9564,h,770000,2,221,5/07/2020,3.64,1,91
5/228 Reynard St,,,,Coburg,-37.747,144.9515,h,472000,3,13,14/12/2019,0.23,25,90
32 Rose St,,,,Coburg,-37.7445,144.9471,h,901000,2,0,,,1,0
9 Sargood St,,,,Coburg,-37.7477,144.9647,h,642000,1,0,,,1,0
1/51 The Grove,,,,Coburg,-37.7519,144.9721,h,605000,1,0,,,1,0
3/117 Gordon St,,,,Coburg,-37.7454,144.9487,t,687000,1,86,7/03/2020,1.6,2,282
100 Reynard St,,,,Coburg,-37.748,144.9602,h,975000,1,66,16/03/2020,1.16,2,249
28 Rodda St,,,,Coburg,-37.7434,144.9697,h,985000,3,49,29/03/2020,0.83,1,334
38 Soudan St,,,,Coburg,-37.7388,144.9529,h,835000,1,130,24/11/2019,2.38,1,0
11 Vincent St,,,,Coburg,-37.743,144.956,h,951000,2,4,6/03/2016,0.07,1,0
9 Beckley St,,,,Coburg,-37.7493,144.978,h,1370000,28,6,5/06/2016,0.1,1,179
265 Bell St,,,,Coburg,-37.74,144.9516,h,700000,3,35,29/02/2020,0.59,2,364
2/44 Berry St,,,,Coburg,-37.7461,144.9584,t,810000,2,11,10/12/2019,0.19,24,364
3/87 Gaffney St,,,,Coburg,-37.7336,144.9597,u,445000,2,4,28/11/2019,0.13,24,365
13 Kaye Ct,,,,Coburg,-37.7369,144.9637,h,838000,1,4,9/10/2015,0.07,1,0
2 McPherson St,,,,Coburg,-37.7489,144.9598,h,810000,2,134,5/03/2020,2.5,5,126
5 Saunders St,,,,Coburg,-37.7531,144.9504,h,1150000,2,70,8/07/2020,1.16,1,0
6 Younger St,,,,Coburg,-37.7432,144.9768,h,931000,2,129,5/07/2020,2.15,1,98
10/23 Baxter St,,,,Coburg,-37.7463,144.9635,u,241000,14,82,19/04/2019,1.36,1,365
35 Campbell St,,,,Coburg,-37.7534,144.9679,h,1331000,2,129,18/03/2020,2.17,1,353
40 Elizabeth St,,,,Coburg,-37.7373,144.9825,h,1007000,2,57,8/05/2017,1.01,1,0
29 Hardwick St,,,,Coburg,-37.7493,144.97,h,981000,19,0,,,1,0
18 Industry La,,,,Coburg,-37.7367,144.9701,t,570000,1,2,7/11/2015,0.03,1,0
